Indice;Heure;Distance;Vitesse;Température;Altitude;Latitude;Longitude
.;.;.;.;.;.;.;.
963;01/07/2024-08:15:13;40.3078;21.384;1;79.79999999999995;49.0572549495846;2.2858299873769283
964;01/07/2024-08:15:17;40.331979999999998;21.0312;1;80.20000000000005;49.05739098787308;2.285569980740547
965;01/07/2024-08:15:21;40.35557;21.5676;1;80.39999999999998;49.0575279481709;2.285292958840728
966;01/07/2024-08:15:25;40.379810000000003;22.424400000000002;1;80.20000000000005;49.057644959539175;2.284980984404683
967;01/07/2024-08:15:29;40.405099999999997;23.2056;1;80.39999999999998;49.057729952037334;2.284634979441762
968;01/07/2024-08:15:33;40.43129;23.9328;1;81.39999999999998;49.05779994092882;2.2842699475586414
969;01/07/2024-08:15:37;40.45822;24.6636;1;80.39999999999998;49.057859955355525;2.2839109506458044
970;01/07/2024-08:15:41;40.48593;24.228;1;80.60000000000002;49.0579079836607;2.2835599165409803
971;01/07/2024-08:15:45;40.512919999999998;23.5728;1;81.60000000000002;49.05794997699559;2.2832099720835686
972;01/07/2024-08:15:49;40.53905;23.184;1;81.60000000000002;49.05798291787505;2.282854998484254
973;01/07/2024-08:15:53;40.56498;23.3316;1;82.60000000000002;49.05799993313849;2.282479992136359
974;01/07/2024-08:15:57;40.59111;24.5736;1;82.79999999999995;49.058009991422296;2.2820879705250263
975;01/07/2024-08:16:01;40.6185;25.660800000000002;1;81.0;49.05801493674517;2.2817009780555964
.;.;.;.;.;.;.;.
